timestamp,posj0,velj0,torqj0,posj1,velj1,torqj1,posj2,velj2,torqj2
0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0
